system:index,NDVI,aspect,clay_0_15,clay_30_60,elevation,om_0_15,slope,twi,.geo
0_0,0.28031525015830994,297.6415302158962,55.0,39.5,2636.0,0.7800000011920929,3.991866111755371,11.366818360978973,"{""type"":""Point"",""coordinates"":[-108.0613042866119,38.22697295935758]}"
0_1,0.2574138045310974,225.52419642636315,57.0,37.5,2460.0,0.7800000011920929,6.589972496032715,8.297775230908274,"{""type"":""Point"",""coordinates"":[-108.12134696218297,38.23353774946596]}"
0_2,0.3592129051685333,236.38702375297567,39.0,35.5,2414.0,0.7099999785423279,17.83098793029785,13.819125683215404,"{""type"":""Point"",""coordinates"":[-108.10981890157815,38.22522074136583]}"
0_3,0.36370959877967834,192.66180467535608,42.0,37.5,2500.0,0.7800000011920929,15.751176834106445,10.295558637446161,"{""type"":""Point"",""coordinates"":[-108.10726424596392,38.2326958205145]}"
0_4,0.27538007497787476,190.30983304466585,36.0,24.5,2948.0,0.9200000166893005,6.570033073425293,8.99397952896481,"{""type"":""Point"",""coordinates"":[-108.06168088146903,38.24920794493729]}"
0_5,0.2941604554653168,260.09879830119263,44.0,25.5,2861.0,1.1299999952316284,20.634857177734375,7.1161726481544765,"{""type"":""Point"",""coordinates"":[-108.04913552007778,38.23555948029099]}"
0_6,0.2670195400714874,194.2866644434675,44.0,31.5,2736.0,0.8500000238418579,4.774372100830078,10.008461271763405,"{""type"":""Point"",""coordinates"":[-108.07958228730541,38.24277757167885]}"
0_7,0.2773514986038208,214.1816545983099,45.0,27.5,2895.0,1.0600000023841858,16.35795783996582,8.463946449801929,"{""type"":""Point"",""coordinates"":[-108.07319785021726,38.249863960079516]}"
0_8,0.2749849557876587,147.52955638763248,38.0,36.5,2530.0,0.7099999785423279,15.036015510559082,13.728729012103509,"{""type"":""Point"",""coordinates"":[-108.08998034720426,38.21103113427663]}"
0_9,0.3167509138584137,239.4947799867794,34.0,12.5,2843.0,0.8500000238418579,16.013885498046875,8.486379317028774,"{""type"":""Point"",""coordinates"":[-108.046591301906,38.227684256874156]}"
0_10,0.29933109879493713,303.95293395870567,46.0,37.5,2636.0,1.0600000023841858,9.865224838256836,7.888780759399085,"{""type"":""Point"",""coordinates"":[-108.06063597886984,38.22986269111517]}"
0_11,0.2627066969871521,199.14839897900038,42.0,37.5,2659.0,0.9900000095367432,10.674689292907715,9.599966782582554,"{""type"":""Point"",""coordinates"":[-108.07247741881997,38.23835497922013]}"
0_12,0.25816595554351807,236.04767432652017,44.0,39.5,2561.0,0.8500000238418579,9.865377426147461,10.453714339749254,"{""type"":""Point"",""coordinates"":[-108.07842155314785,38.231770217571146]}"
0_13,0.313609778881073,249.4095343312534,49.0,41.5,2917.0,0.8500000238418579,26.85399055480957,7.918720061343744,"{""type"":""Point"",""coordinates"":[-108.04606684890307,38.23097049719211]}"
0_14,0.3050944209098816,282.08778893699986,42.0,35.5,2637.0,0.8500000238418579,13.056398391723633,8.294094380419137,"{""type"":""Point"",""coordinates"":[-108.11898154682841,38.25646722038362]}"
0_15,0.26061132550239563,283.2610603932736,38.0,40.5,2685.0,0.9900000095367432,11.953469276428223,9.30150640518175,"{""type"":""Point"",""coordinates"":[-108.05657575679153,38.22614221355739]}"
0_16,0.28101450204849243,212.48729811907359,31.0,15.5,3034.0,0.9200000166893005,2.198042154312134,9.399689905133933,"{""type"":""Point"",""coordinates"":[-108.0869458501648,38.25843195885838]}"
0_17,0.27773037552833557,190.30998727915343,44.0,27.5,2960.0,1.0600000023841858,12.971701622009277,7.60768467695272,"{""type"":""Point"",""coordinates"":[-108.06637711748398,38.25034118726399]}"
0_18,0.272662878036499,205.52037191515734,42.0,35.5,2460.0,0.9200000166893005,8.166391372680664,8.774063821734622,"{""type"":""Point"",""coordinates"":[-108.11840678141989,38.2343559798946]}"
0_19,0.2681756615638733,216.02450699266734,41.0,29.5,2713.0,0.8500000238418579,7.97567081451416,8.798010701098992,"{""type"":""Point"",""coordinates"":[-108.02594520301808,38.20555707052843]}"
0_20,0.29408201575279236,202.99354966415075,54.0,37.5,2528.0,0.8500000238418579,3.019824504852295,9.774769574297238,"{""type"":""Point"",""coordinates"":[-108.08364035795117,38.23029292872037]}"
0_21,0.33170342445373535,180.0,42.0,27.5,2972.0,0.9200000166893005,12.76917839050293,8.317109787761083,"{""type"":""Point"",""coordinates"":[-108.02865971122948,38.219870624042976]}"
0_22,0.28541454672813416,284.674975745727,39.0,36.5,2647.0,1.0600000023841858,7.282759189605713,9.295444284673783,"{""type"":""Point"",""coordinates"":[-108.06260506450008,38.22067242494643]}"
0_23,0.26679614186286926,258.88759818158644,42.0,37.5,2592.0,1.0600000023841858,4.8010077476501465,8.61657755358543,"{""type"":""Point"",""coordinates"":[-108.0685438816252,38.21751205738924]}"
0_24,0.2441122978925705,147.51409115357757,28.0,32.5,3015.0,0.4300000071525574,6.56833553314209,8.301093036593757,"{""type"":""Point"",""coordinates"":[-108.07572958454297,38.25447986863048]}"
0_25,0.30702173709869385,163.32288902816552,41.0,31.5,2625.0,0.9200000166893005,16.028072357177734,8.485445900706598,"{""type"":""Point"",""coordinates"":[-108.09759755384174,38.240808548691454]}"
0_26,0.3064667582511902,174.4054184965592,45.0,35.5,2808.0,0.9900000095367432,11.939228057861328,7.693295854749066,"{""type"":""Point"",""coordinates"":[-108.09957782217566,38.252785508574284]}"
0_27,0.22839374840259552,248.5497662726607,39.0,33.5,2588.0,0.9200000166893005,5.059321403503418,8.563911509472435,"{""type"":""Point"",""coordinates"":[-108.04929898991195,38.204005086936355]}"
0_28,0.2739030420780182,197.65596887104135,38.0,34.5,2689.0,0.8500000238418579,7.739306449890137,9.74476561574732,"{""type"":""Point"",""coordinates"":[-108.06596947958573,38.2389596387763]}"
0_29,0.27853021025657654,195.79970843574134,46.0,31.5,2808.0,1.199999988079071,8.60977554321289,9.125894894035444,"{""type"":""Point"",""coordinates"":[-108.08280056114162,38.248634739604384]}"
0_30,0.20407049357891083,68.55281754277074,39.0,30.5,2523.0,0.8500000238418579,2.534944534301758,15.479499411309297,"{""type"":""Point"",""coordinates"":[-108.0861629343802,38.215383391078376]}"
0_31,0.3282434046268463,216.96014040028095,35.0,24.5,2837.0,0.7800000011920929,24.0220890045166,8.046263043413807,"{""type"":""Point"",""coordinates"":[-108.0900014755178,38.25174769064016]}"
0_32,0.3197706937789917,282.6525358666573,50.0,33.5,2513.0,0.7100000083446503,16.468509674072266,7.358215500030372,"{""type"":""Point"",""coordinates"":[-108.09120676030575,38.21322183338123]}"
0_33,0.2810514569282532,145.2315104410758,42.0,27.5,2758.0,0.9200000166893005,12.230574607849121,9.460215698399814,"{""type"":""Point"",""coordinates"":[-108.01870959211465,38.21205547783912]}"
0_34,0.27593550086021423,239.49755551038862,44.0,37.5,2567.0,0.9200000166893005,5.46525764465332,10.971203735741287,"{""type"":""Point"",""coordinates"":[-108.08923643669449,38.235751474988184]}"
0_35,0.32270175218582153,174.805503230767,46.0,35.5,2810.0,1.0600000023841858,12.820099830627441,8.718459531267044,"{""type"":""Point"",""coordinates"":[-108.02480887292543,38.21405465714512]}"
0_36,0.2364012897014618,208.62540829721507,44.0,30.5,2858.0,0.9200000166893005,14.476862907409668,7.493592634291646,"{""type"":""Point"",""coordinates"":[-108.106929780424,38.258277430838284]}"
0_37,0.29821842908859253,191.08517386388684,28.0,32.5,2948.0,-9.930000305175781,23.213716506958008,6.986089623244417,"{""type"":""Point"",""coordinates"":[-108.0929266061076,38.25749443797722]}"
0_38,0.2911049723625183,231.85632089893028,57.0,39.5,2648.0,0.8500000238418579,7.465855598449707,9.270337712473987,"{""type"":""Point"",""coordinates"":[-108.112804495893,38.248513862283296]}"
0_39,0.22457551956176758,278.92966969086996,36.0,25.5,2811.0,0.7800000011920929,17.373004913330078,8.68780286501492,"{""type"":""Point"",""coordinates"":[-108.04450359720474,38.2208948817725]}"
0_40,0.27213966846466064,36.046788518187704,30.0,21.5,2967.0,0.7800000011920929,15.657917976379395,7.411433426459108,"{""type"":""Point"",""coordinates"":[-108.08777752447995,38.26488879232572]}"
0_41,0.29810845851898193,203.78469526790792,41.0,25.5,2747.0,0.9200000166893005,24.699899673461914,8.014778131329532,"{""type"":""Point"",""coordinates"":[-108.05932970363989,38.241943948620644]}"
0_42,0.2564464807510376,235.48917411140377,39.0,30.5,2645.0,1.0600000023841858,11.310127258300781,7.748940952544322,"{""type"":""Point"",""coordinates"":[-108.04497279503448,38.20685376941184]}"
0_43,0.3103363811969757,257.9131529910925,39.0,25.5,2778.0,0.8500000238418579,13.057366371154785,8.294017614588816,"{""type"":""Point"",""coordinates"":[-108.11296637196983,38.262161474570696]}"
0_44,0.2803083658218384,155.5458677201446,44.0,31.5,2946.0,0.9900000095367432,13.980280876159668,7.529973811443837,"{""type"":""Point"",""coordinates"":[-108.0544964718447,38.24754864818922]}"
0_45,0.25167614221572876,271.9553206585763,43.0,28.5,2715.0,0.7800000011920929,25.381261825561523,7.578300256953981,"{""type"":""Point"",""coordinates"":[-108.1152812981198,38.25882282890713]}"
0_46,0.3151012063026428,220.3304518607153,31.0,15.5,2902.0,0.9200000166893005,7.260850429534912,8.893024614031,"{""type"":""Point"",""coordinates"":[-108.09101591711821,38.25536437918551]}"
0_47,0.3131886124610901,209.49734051566168,34.0,22.5,2979.0,0.7800000011920929,18.509191513061523,7.926968363085023,"{""type"":""Point"",""coordinates"":[-108.03191781686675,38.22039916196878]}"
